pokemon,usage,raw_usage,real_usage,total_battles
Hatterene,0.0243863,74022.0,0.05294005319609247,1398223.0
Starmie,0.0051666,15799.0,0.011299342093500107,1398223.0
Steelix,0.0031304,9578.0,0.006850123335118933,1398223.0
Lycanroc-Dusk,0.0089921,27206.0,0.019457554338614083,1398223.0
Ninetales,0.0057412,17655.0,0.012626741227972934,1398223.0
Azumarill,0.0328152,97908.0,0.07002316511743835,1398223.0
Runerigus,0.0024481,7683.0,0.005494831654178196,1398223.0
Glalie,0.0002028,656.0,0.0004691669354602234,1398223.0
Jirachi,0.0193889,58159.0,0.04159493871864502,1398223.0
Hydreigon,0.0577479,174175.0,0.12456882771918357,1398223.0
Golisopod,0.004745,14652.0,0.010479015149943894,1398223.0
Glastrier,0.0037344,11306.0,0.008085977701697084,1398223.0
Carracosta,0.0009809,3076.0,0.0021999352034689744,1398223.0
Gallade,0.0028851,9017.0,0.006448899782080541,1398223.0
Exeggutor-Alola,0.0017551,5702.0,0.004078033332308223,1398223.0
Thievul,0.0007059,2251.0,0.0016099005666478095,1398223.0
Weezing,0.0011962,3796.0,0.0027148745228765367,1398223.0
Swoobat,0.0024098,7818.0,0.005591382776567114,1398223.0
Spiritomb,0.0030946,9431.0,0.006744989890739889,1398223.0
Liepard,0.0018971,5904.0,0.0042225024191420105,1398223.0
Snorlax,0.0111019,34222.0,0.024475351928841108,1398223.0
Kangaskhan,0.0006118,1899.0,0.0013581524549374456,1398223.0
Aron,0.0012133,4345.0,0.003107515753924803,1398223.0
Machamp,0.0039647,12211.0,0.008733227818452422,1398223.0
Xurkitree,0.0053868,16421.0,0.011744192449988306,1398223.0
Exeggutor,0.0013231,4119.0,0.002945882023110763,1398223.0
Boltund,0.0012702,3992.0,0.0028550524487152623,1398223.0
Cursola,0.001921,5739.0,0.004104495491777778,1398223.0
Cobalion,0.0015849,4784.0,0.0034214857000635806,1398223.0
Persian-Alola,0.0011983,3759.0,0.0026884123634069814,1398223.0
Ditto,0.0139702,42381.0,0.030310615688627637,1398223.0
Diancie,0.0028318,8761.0,0.0062658102462911855,1398223.0
Mesprit,0.0005865,1794.0,0.0012830571375238428,1398223.0
Bisharp,0.083929,250608.0,0.1792332124417922,1398223.0
Toxtricity,0.0098207,29995.0,0.02145222900781921,1398223.0
Kyurem,0.0693909,206242.0,0.14750293765729788,1398223.0
Sirfetch'd,0.0033375,10298.0,0.007365062654526496,1398223.0
Nidoqueen,0.0030693,9239.0,0.006607672738897873,1398223.0
Altaria,0.0012219,3737.0,0.002672678106425084,1398223.0
Togekiss,0.0262705,81049.0,0.05796571791481044,1398223.0
Oranguru,0.0002696,829.0,0.0005928954108178738,1398223.0
Venusaur,0.0205421,62310.0,0.044563706933729456,1398223.0
Blastoise,0.0091291,27939.0,0.01998179117351095,1398223.0
Klefki,0.0078646,24021.0,0.0171796630437348,1398223.0
Silvally-Steel,0.0002253,685.0,0.0004899075469363614,1398223.0
Bulbasaur,0.0001119,398.0,0.0002846470126725136,1398223.0
Jigglypuff,0.0001505,485.0,0.0003468688471009274,1398223.0
Dracozolt,0.0227439,67851.0,0.04852659411267015,1398223.0
Abra,0.000143,488.0,0.0003490144275984589,1398223.0
Ralts,0.0001094,365.0,0.000261045627199667,1398223.0
Throh,0.0001956,618.0,0.00044198958249149097,1398223.0
Wartortle,0.000388,1221.0,0.0008732512624953244,1398223.0
Wigglytuff,0.0010041,3094.0,0.0022128086864541636,1398223.0
Inteleon,0.0074437,23220.0,0.016606793050893884,1398223.0
Magikarp,0.000216,933.0,0.0006672755347322995,1398223.0
Dusknoir,0.0026323,7984.0,0.0057101048974305246,1398223.0
Basculin,0.0003748,1186.0,0.0008482194900241235,1398223.0
Stonjourner,0.0002496,754.0,0.0005392558983795861,1398223.0
Kabutops,0.0025808,7790.0,0.005571357358590153,1398223.0
Sylveon,0.00841,25786.0,0.018441979569782503,1398223.0
Haunter,0.0002106,701.0,0.000501350642923196,1398223.0
Tangrowth,0.0229641,68308.0,0.04885343754179412,1398223.0
Togedemaru,0.0028915,9166.0,0.006555463613457939,1398223.0
Dedenne,0.000781,2477.0,0.0017715342974618498,1398223.0
Ivysaur,0.0002131,658.0,0.0004705973224585778,1398223.0
Type: Null,0.0005421,1659.0,0.001186506015134925,1398223.0
Blacephalon,0.0301332,89826.0,0.06424297125708846,1398223.0
Shiinotic,0.0009129,2788.0,0.0019939594757059495,1398223.0
Scyther,0.002206,6977.0,0.004989905043759115,1398223.0
